 0.777,-0.295,0.195,-0.016,-0.009,0.258,-1.654,0.002,0.223,-0.213,0.091,-0.081,0
 0.769,-0.290,0.190,-0.031,-0.010,0.298,-1.697,0.004,0.438,-0.427,0.176,-0.165,0
 0.761,-0.285,0.185,-0.045,-0.008,0.327,-1.734,0.006,0.647,-0.641,0.256,-0.251,0
 0.754,-0.280,0.180,-0.059,-0.002,0.350,-1.766,0.007,0.849,-0.854,0.333,-0.338,0
 0.746,-0.276,0.174,-0.073,0.005,0.367,-1.796,0.009,1.045,-1.066,0.406,-0.426,0
 0.738,-0.272,0.169,-0.086,0.014,0.381,-1.822,0.010,1.236,-1.276,0.475,-0.515,0
 0.731,-0.268,0.164,-0.098,0.024,0.391,-1.847,0.011,1.420,-1.484,0.541,-0.604,0
 0.724,-0.264,0.159,-0.110,0.034,0.399,-1.869,0.012,1.599,-1.689,0.603,-0.693,0
 0.717,-0.261,0.154,-0.122,0.045,0.404,-1.890,0.013,1.773,-1.892,0.662,-0.782,0
 0.710,-0.257,0.149,-0.133,0.057,0.407,-1.909,0.014,1.941,-2.092,0.719,-0.870,0
 0.703,-0.254,0.144,-0.144,0.068,0.409,-1.926,0.015,2.103,-2.290,0.772,-0.959,0
 0.697,-0.251,0.139,-0.154,0.080,0.409,-1.942,0.016,2.260,-2.484,0.823,-1.047,0
 0.690,-0.248,0.134,-0.164,0.093,0.408,-1.957,0.016,2.413,-2.675,0.871,-1.134,0
 0.684,-0.245,0.129,-0.174,0.105,0.406,-1.971,0.017,2.560,-2.863,0.917,-1.221,0
 0.678,-0.243,0.124,-0.183,0.117,0.402,-1.983,0.017,2.702,-3.048,0.960,-1.307,0
 0.672,-0.240,0.119,-0.192,0.130,0.398,-1.995,0.018,2.840,-3.230,1.001,-1.391,0
 0.666,-0.238,0.114,-0.201,0.142,0.393,-2.006,0.018,2.972,-3.408,1.040,-1.475,0
 0.661,-0.236,0.110,-0.209,0.154,0.388,-2.015,0.018,3.100,-3.582,1.076,-1.558,0
