 0.777,-0.295,0.195,-0.016,-0.009,0.258,-1.654,0.002,0.223,-0.213,0.091,-0.081,0
 0.769,-0.290,0.190,-0.031,-0.011,0.298,-1.697,0.004,0.439,-0.428,0.176,-0.165,0
 0.761,-0.285,0.185,-0.045,-0.008,0.327,-1.734,0.006,0.649,-0.643,0.257,-0.252,0
 0.753,-0.280,0.180,-0.059,-0.002,0.350,-1.767,0.007,0.853,-0.858,0.334,-0.340,0
 0.746,-0.276,0.174,-0.073,0.005,0.368,-1.796,0.009,1.051,-1.072,0.408,-0.429,0
 0.738,-0.272,0.169,-0.085,0.013,0.382,-1.823,0.010,1.244,-1.284,0.478,-0.518,0
 0.731,-0.268,0.164,-0.098,0.023,0.393,-1.848,0.011,1.431,-1.495,0.545,-0.608,0
 0.723,-0.264,0.159,-0.110,0.033,0.401,-1.871,0.012,1.613,-1.704,0.609,-0.699,0
 0.716,-0.260,0.153,-0.121,0.043,0.407,-1.891,0.013,1.790,-1.910,0.669,-0.789,0
 0.709,-0.257,0.148,-0.132,0.054,0.411,-1.911,0.014,1.962,-2.115,0.727,-0.880,0
 0.702,-0.254,0.143,-0.143,0.066,0.414,-1.929,0.015,2.129,-2.317,0.782,-0.970,0
 0.696,-0.250,0.138,-0.153,0.077,0.415,-1.945,0.016,2.291,-2.517,0.835,-1.060,0
 0.689,-0.247,0.133,-0.163,0.089,0.415,-1.961,0.017,2.448,-2.713,0.885,-1.150,0
 0.682,-0.244,0.128,-0.172,0.100,0.414,-1.975,0.017,2.601,-2.907,0.933,-1.239,0
 0.676,-0.242,0.123,-0.181,0.111,0.412,-1.988,0.018,2.749,-3.098,0.978,-1.328,0
 0.670,-0.239,0.118,-0.190,0.123,0.410,-2.001,0.018,2.892,-3.287,1.021,-1.415,0
 0.664,-0.237,0.113,-0.199,0.134,0.407,-2.012,0.019,3.032,-3.472,1.062,-1.502,0
 0.658,-0.234,0.108,-0.207,0.145,0.403,-2.023,0.019,3.167,-3.654,1.101,-1.588,0
 0.652,-0.232,0.103,-0.215,0.155,0.400,-2.033,0.019,3.297,-3.832,1.138,-1.673,0
 0.647,-0.230,0.098,-0.222,0.165,0.396,-2.043,0.019,3.424,-4.008,1.174,-1.757,0
 0.641,-0.228,0.094,-0.230,0.175,0.391,-2.052,0.020,3.547,-4.180,1.207,-1.840,0
 0.636,-0.226,0.089,-0.237,0.185,0.387,-2.061,0.020,3.666,-4.349,1.239,-1.922,0
 0.630,-0.224,0.085,-0.244,0.194,0.383,-2.069,0.020,3.782,-4.514,1.270,-2.002,0
 0.625,-0.223,0.080,-0.250,0.202,0.379,-2.077,0.020,3.894,-4.676,1.299,-2.081,0
