 0.435,-0.239,-0.124,-0.549,0.544,-0.020,-2.144,-0.014,6.509,-12.260,0.826,-6.577,0
 0.433,-0.239,-0.126,-0.551,0.546,-0.023,-2.144,-0.015,6.557,-12.311,0.844,-6.598,0
 0.431,-0.238,-0.127,-0.553,0.549,-0.027,-2.145,-0.015,6.605,-12.356,0.864,-6.615,0
 0.430,-0.237,-0.128,-0.554,0.552,-0.032,-2.144,-0.016,6.655,-12.395,0.887,-6.627,0
 0.428,-0.236,-0.129,-0.556,0.555,-0.039,-2.143,-0.017,6.705,-12.430,0.911,-6.636,0
 0.426,-0.235,-0.130,-0.557,0.559,-0.047,-2.141,-0.017,6.756,-12.460,0.938,-6.642,0
 0.425,-0.234,-0.131,-0.558,0.565,-0.057,-2.138,-0.018,6.808,-12.484,0.967,-6.643,0
 0.424,-0.233,-0.132,-0.559,0.571,-0.069,-2.133,-0.018,6.860,-12.505,0.997,-6.642,0
 0.422,-0.232,-0.133,-0.559,0.578,-0.085,-2.126,-0.019,6.911,-12.521,1.028,-6.638,0
 0.421,-0.230,-0.133,-0.560,0.587,-0.104,-2.118,-0.019,6.961,-12.533,1.059,-6.631,0
 0.420,-0.229,-0.134,-0.560,0.597,-0.126,-2.107,-0.019,7.010,-12.542,1.090,-6.623,0
 0.419,-0.228,-0.134,-0.561,0.609,-0.153,-2.093,-0.020,7.055,-12.547,1.120,-6.613,0
 0.418,-0.227,-0.134,-0.561,0.622,-0.182,-2.078,-0.020,7.096,-12.550,1.148,-6.602,0
 0.418,-0.226,-0.135,-0.561,0.635,-0.215,-2.060,-0.020,7.132,-12.549,1.173,-6.591,0
 0.417,-0.225,-0.135,-0.561,0.648,-0.248,-2.041,-0.021,7.163,-12.546,1.196,-6.579,0
 0.417,-0.224,-0.135,-0.561,0.661,-0.283,-2.021,-0.021,7.190,-12.541,1.216,-6.567,0
 0.417,-0.223,-0.135,-0.561,0.674,-0.317,-2.001,-0.021,7.212,-12.533,1.234,-6.555,0
 0.416,-0.223,-0.135,-0.561,0.686,-0.351,-1.980,-0.021,7.230,-12.523,1.250,-6.542,0
 0.416,-0.222,-0.134,-0.561,0.697,-0.384,-1.959,-0.022,7.245,-12.510,1.264,-6.529,0
 0.416,-0.221,-0.134,-0.561,0.708,-0.417,-1.938,-0.022,7.258,-12.496,1.277,-6.516,0
 0.417,-0.221,-0.134,-0.561,0.717,-0.449,-1.917,-0.022,7.267,-12.479,1.289,-6.501,0
 0.417,-0.220,-0.133,-0.561,0.726,-0.480,-1.896,-0.022,7.274,-12.461,1.299,-6.486,0
 0.417,-0.220,-0.133,-0.561,0.735,-0.510,-1.876,-0.022,7.279,-12.441,1.309,-6.471,0
 0.417,-0.220,-0.132,-0.560,0.742,-0.540,-1.855,-0.022,7.283,-12.419,1.318,-6.454,0
 0.418,-0.219,-0.132,-0.560,0.749,-0.568,-1.835,-0.022,7.285,-12.396,1.327,-6.437,0
 0.418,-0.219,-0.131,-0.560,0.755,-0.596,-1.814,-0.022,7.285,-12.371,1.335,-6.420,0
 0.419,-0.218,-0.130,-0.559,0.761,-0.623,-1.794,-0.023,7.285,-12.344,1.342,-6.402,0
 0.419,-0.218,-0.130,-0.559,0.766,-0.650,-1.774,-0.023,7.283,-12.317,1.349,-6.383,0
 0.420,-0.218,-0.129,-0.558,0.770,-0.675,-1.754,-0.023,7.280,-12.288,1.356,-6.364,0
 0.421,-0.217,-0.128,-0.558,0.774,-0.700,-1.734,-0.023,7.276,-12.258,1.362,-6.344,0
 0.421,-0.217,-0.127,-0.557,0.777,-0.725,-1.714,-0.023,7.271,-12.227,1.368,-6.324,0
 0.422,-0.217,-0.127,-0.556,0.780,-0.749,-1.694,-0.023,7.265,-12.196,1.373,-6.304,0
 0.423,-0.216,-0.126,-0.556,0.782,-0.772,-1.674,-0.022,7.259,-12.163,1.379,-6.283,0
 0.423,-0.216,-0.125,-0.555,0.784,-0.794,-1.654,-0.022,7.252,-12.130,1.384,-6.262,0
 0.424,-0.216,-0.124,-0.554,0.785,-0.816,-1.635,-0.022,7.245,-12.096,1.389,-6.241,0
 0.425,-0.216,-0.123,-0.553,0.786,-0.838,-1.615,-0.022,7.237,-12.062,1.394,-6.219,0
 0.426,-0.215,-0.122,-0.552,0.786,-0.859,-1.596,-0.022,7.228,-12.027,1.398,-6.197,0
 0.427,-0.215,-0.121,-0.551,0.785,-0.879,-1.577,-0.022,7.219,-11.992,1.403,-6.176,0
 0.427,-0.215,-0.120,-0.551,0.785,-0.899,-1.557,-0.022,7.210,-11.957,1.407,-6.154,0
 0.428,-0.215,-0.119,-0.550,0.783,-0.918,-1.538,-0.022,7.200,-11.921,1.411,-6.132,0
 0.429,-0.214,-0.119,-0.549,0.781,-0.936,-1.519,-0.022,7.191,-11.885,1.415,-6.110,0
